tweet_id,date,text,favorite_count,retweet_count,at_mentions,at_mentions_id,hashtags,user_id,user_name,user_profile,in_reply_to_tweet_id,country,place,lang,coordinates,latitude,longitude,tidy_text,tone
1.24e+18,3/15/2020 18:08,Can you get #coronavirus from a glory hole? Asking for a friend. 😇,0,0,[],[],['coronavirus'],2514026935.0,The Pool Boy Q,this that red cup all on the lawn shit.,,United States,San Francisco,en,"[-122.514926, 37.708075]",-122.514926,37.708075,can you get coronavirus from a glory hole asking for a friend,neutral
1.24e+18,3/15/2020 18:07,"Well, if memes have taught me anything - at this number, no more cases of the #CoronaVirus are allowed in… https://t.co/gSvaY0E60c",0,0,[],[],['CoronaVirus'],334781536.0,Evin Charles Anderson,"LA Actor. Host of @MindMineTV on #Youtube! 
IMDB: https://t.co/DzH9zcquDo
Management: Sheer Talent Management LLC",,United States,City of Los Angeles,en,"[-118.24512004852294, 34.05571721333726]",-118.24512004852294,34.05571721333726,well if memes have taught me anything at this number no more cases of the coronavirus are allowed in,negative
1.24e+18,3/15/2020 18:07,I don’t wish ill on anyone...but if someone was to be infected with the  #coronavirus I would hope it would be this… https://t.co/mTn8hWpPZ1,2,0,[],[],['coronavirus'],44118235.0,Phillip Graham,"Travel, economics, history, and linguistics enthusiast",,United States,Dallas,en,"[-96.977527, 32.620678]",-96.977527,32.620678,i don t wish ill on anyone but if someone was to be infected with the coronavirus i would hope it would be this,negative
1.24e+18,3/15/2020 18:07,"A school Superintendent said something profound in his address cancelling school for the next 3 weeks. “In the end,… https://t.co/FBFnX1r0YJ",0,0,[],[],[],823433930.0,Rhonda,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively. Bob Marley",,United States,Texas,en,"[-106.645646, 25.837092]",-106.645646,25.837092,a school superintendent said something profound in his address cancelling school for the next weeks in the end,positive
1.24e+18,3/15/2020 18:07,Ok what are the positives of this #coronavirus situation?? I’m trying to practice a glass half full outlook right now. #COVIDー19,0,0,[],[],"['coronavirus', 'COVIDー19']",19013963.0,AJ Jimenez,"Graphic Designer & occasional letter doodler, born and raised in Cleveland, Ohio.",,United States,Cleveland,en,"[-81.877771, 41.392684]",-81.877771,41.392684,ok what are the positives of this coronavirus situation i m trying to practice a glass half full outlook right now covid,neutral
1.24e+18,3/15/2020 18:07,"Immigrants in detention, incarcerated Americans, and the homeless and others living in shelters are some of the mos… https://t.co/bScLmDq2jv",3,3,[],[],[],8.6e+17,Dr. Christine Eady Mann,| FP Doctor | Candidate for US Congress TX-31 | donate: https://t.co/OwH4dfGky9 #TX31 #resist #persist,,United States,Texas,en,"[-106.645646, 25.837092]",-106.645646,25.837092,immigrants in detention incarcerated americans and the homeless and others living in shelters are some of the mos,neutral
1.24e+18,3/15/2020 18:07,"Sunday.  Caught wearing my #coronavirus appropriate shirt, my 'Stay Back' @NRA ball cap, while Manspreading in all… https://t.co/VDN6H0GCu9",0,0,['NRA'],[21829541],['coronavirus'],256148562.0,Robert  Allen Strupp,"AZ-Born-Boomer.  17yrs owner of Phoenix 50-employee family business.  Private Security 13 years.  Jesus, then, Levothyroxine saved my life.  Retired.",,United States,Starbucks (inside Barnes & Noble),en,"[-112.1138944238191, 33.711479958956126]",-112.1138944238191,33.711479958956126,sunday caught wearing my coronavirus appropriate shirt my stay back ball cap while manspreading in all,positive
1.24e+18,3/15/2020 18:07,Does rolling someone's house qualify as a hate crime now? #coronavirus #COVID19,0,0,[],[],"['coronavirus', 'COVID19']",87475367.0,Sean Antle,Husband | Father | Jesus follower | Aspiring home cook | Cloud HCM professional,,United States,Oklahoma,en,"[-103.0026515, 33.615765]",-103.0026515,33.615765,does rolling someone s house qualify as a hate crime now coronavirus covid,negative
1.24e+18,3/15/2020 18:06,Has there been any #coronavirus associated with Russia? 🤔🧐,0,0,[],[],['coronavirus'],1652701596.0,Marc O’shalma,Just a guy who dislikes most things,,United States,Bronx,en,"[-73.933612, 40.785365]",-73.933612,40.785365,has there been any coronavirus associated with russia,neutral
1.24e+18,3/15/2020 18:06,"On behalf of @GABBCON @latviw and our friends from @csr_av as well as others in the event industry, please sign and… https://t.co/8bE4Kurols",3,2,"['GABBCON', 'LATVIW', 'Colortone (CSR)']","[3277884228, 1173712974009122816, 423607267]",[],160705605.0,Gabe Greenberg,"GABBCON CEO Passionate about #AudienceBuying; #Blockchain; #Photography; #Travel; #Editorial #DigitalMedia; #Marketing, #VolFirefighter #ICOAdvisor #TV #Foodie",,United States,Manhattan Beach,en,"[-118.423186, 33.872825]",-118.423186,33.872825,on behalf of and our friends from av as well as others in the event industry please sign and,neutral
1.24e+18,3/15/2020 18:06,“Faith is not the enemy of facts” says @pastortraci on the @NAACP #coronavirus tele townhall!,0,0,"['Traci Blackmon', 'NAACP']","[2906442505, 44988185]",['coronavirus'],912904202.0,Karen Boykin-Towns,"Wife, mother, executive involved in her community. I believe we are blessed so we can be a blessing to others! BTW RTs do not = endorsements.",,United States,Brooklyn,en,"[-74.041878, 40.570842]",-74.041878,40.570842,faith is not the enemy of facts says on the coronavirus tele townhall,neutral
1.24e+18,3/15/2020 18:06,Eating local again.... at our favorite Greek joint. Just remodeled and reopen!  #badtiming @psistariagreektaverna… https://t.co/wc0jIzJdrR,0,0,[],[],['badtiming'],278274898.0,Nikki Gee,Driving into potholes all over Chicagoland! R/T are not endorsements.,,United States,Lincolnwood,en,"[-87.762295, 41.997147]",-87.762295,41.997147,eating local again at our favorite greek joint just remodeled and reopen badtiming,positive
1.24e+18,3/15/2020 18:06,The President has officially broken the stock market. #Trumpocalypse #ETTD #coronavirus #FakePresident… https://t.co/MLEr9jEf90,0,0,[],[],"['Trumpocalypse', 'ETTD', 'coronavirus', 'FakePresident']",899179040.0,"Raul A. Maestri, Jr.","Cuban born Red Sox fan, politically and socially active, pragmatic philosopher, and foodie. If you support Trump, you are a criminal co-conspirator and a moron.",,United States,Miami,en,"[-80.321683, 25.7090404]",-80.321683,25.7090404,the president has officially broken the stock market trumpocalypse ettd coronavirus fakepresident,negative
1.24e+18,3/15/2020 18:06,Now we come to the crux of @CNN &amp; #Democratparty agenda: will ILLEGALS get treatment for #coronavirus?! https://t.co/pN8U7LsXNf,0,0,['CNN'],[759251],"['Democratparty', 'coronavirus']",28374369.0,The Occidental Jihadist,"Christian; Ohio State PhD, Islamic history & eschatology; history prof; Army vet; former SOCOM analyst; media opiner; Tolkienist; sabre fencer; Republican.",,United States,Georgia,en,"[-85.605166, 30.355644]",-85.605166,30.355644,now we come to the crux of democratparty agenda will illegals get treatment for coronavirus,neutral
1.24e+18,3/15/2020 18:06,"How many of y’all are counting every square of #toiletpaper that you use now? 🧻 

#COVIDー19 #coronavirus #coronapocolypse",0,0,[],[],"['toiletpaper', 'COVIDー19', 'coronavirus', 'coronapocolypse']",16193518.0,Stephen L.,"A fine beer may be judged with only one sip, but it's better to be thoroughly sure. -Czech proverb
craft beer,photography,liberal rants
http://t.co/Iaj4vdGpkQ",,United States,Bellmawr,en,"[-75.120317, 39.853394]",-75.120317,39.853394,how many of y all are counting every square of toiletpaper that you use now covid coronavirus coronapocolypse,negative
1.24e+18,3/15/2020 18:06,@IB_Dawg @BarbLoving @VSKillingsworth @Autarkh @PAW90 @montanamajik @IAmSueSue2 @Ringuette @Jbones72 @GovPritzker… https://t.co/39NPuN4kSi,0,0,"['i.b. dawg💫™', 'Barb', 'Scott Killingsworth', 'Autarkh', 'Paws Heal', '✍️dreams never die✍️', 'Petty Crocker 💋', 'Ringuette', 'Jim Regan👌🏻#️⃣8/8', 'Governor JB Pritzker']","[53780966, 23308633, 1955291077, 22282936, 718794570, 27431788, 23383940, 21424293, 15941056, 1084817523378454529]",[],7.89e+17,TRUMP2020,,1.24e+18,United States,Scottsdale,en,"[-111.960775, 33.4358637]",-111.960775,33.4358637,dawg,neutral
1.24e+18,3/15/2020 18:06,"Just a thought.  So many have been  #panicshopping or #panicbuying ...
Once the dust settles and you take inventory… https://t.co/jRvstWQcdx",0,0,[],[],"['panicshopping', 'panicbuying']",284836134.0,Troy Kranendonk,Curriculum Manager: Data Access and Analytics | Author @Pluralsight #DataNerd,,United States,Oxford,en,"[-94.667754, 38.825466]",-94.667754,38.825466,just a thought so many have been panicshopping or panicbuying once the dust settles and you take inventory,positive
1.24e+18,3/15/2020 18:06,tell me how my weekend class got turned into a 7 week class...thats some bullshit #coronavirus,0,0,[],[],['coronavirus'],2373636208.0,☆ 𝙷𝚊𝚗 ☆,@huntergilbert03 ❤️,,United States,Elmira Heights,en,"[-76.841149, 42.116626]",-76.841149,42.116626,tell me how my weekend class got turned into a week class thats some bullshit coronavirus,neutral
1.24e+18,3/15/2020 18:06,"Thank you for closing schools. 

Now rollout widespread testing!!! 

@NYGovCuomo
@NYCMayor

#coronavirus https://t.co/H7TcLl4rK1",0,0,"['Andrew Cuomo', 'Mayor Bill de Blasio']","[232268199, 19834403]",['coronavirus'],15195202.0,casey o’shea,,,United States,Brooklyn,en,"[-74.041878, 40.570842]",-74.041878,40.570842,thank you for closing schools now rollout widespread testing coronavirus,neutral
1.24e+18,3/15/2020 18:06,"Your Life ALBUM is OUT 
https://t.co/tnXoIdhP1r

#newmusic #music #newalbum #album #piano #vocal #guitar #synth… https://t.co/zrsPBGyy6K",0,0,[],[],"['newmusic', 'music', 'newalbum', 'album', 'piano', 'vocal', 'guitar', 'synth']",4826429418.0,MusicByElijah,Your Life ALBUM out now,,United States,Avondale,en,"[-112.3579993, 33.3847847]",-112.3579993,33.3847847,your life album is out newmusic music newalbum album piano vocal guitar synth,neutral
1.24e+18,3/15/2020 18:06,@Claudiadibella_ The department of OBGYN is cancelling all elective cases and making contingency plans so that all… https://t.co/j5Xf7PfqB7,0,0,['Claudia'],[842686158052052992],[],127242481.0,nicholas tarricone,Once in a while you get shown the light in the strangest of places if you look at it right...MSG Sec 211 for NYRs,1.24e+18,United States,Merrick,en,"[-73.576227, 40.624816]",-73.576227,40.624816,the department of obgyn is cancelling all elective cases and making contingency plans so that all,neutral
1.24e+18,3/15/2020 18:05,"Glad I was able to Check Out the #BrandNew #Round1 #Arcade 🕹️ yesterday in #BurbankCA 🌴, Before All these… https://t.co/RcZ0cza1H1",1,0,[],[],"['BrandNew', 'Round1', 'Arcade', 'BurbankCA']",28766519.0,JoAnn @ ESAudio:),"Recording Studio Owner @ #ESAudio 🎶 in #LosAngeles, #CA 🌴! 😎 Visit #ESA🎤 on Tumblr & FB, too: 
https://t.co/hiBg3YaPVT
https://t.co/cuGUzovWwi",,United States,Burbank,en,"[-118.37032, 34.1426298]",-118.37032,34.1426298,glad i was able to check out the brandnew round arcade yesterday in burbankca before all these,positive
1.24e+18,3/15/2020 18:05,"@Grubhub gave a refund, but what about the fact the woman who I called through the app saying she doesn’t deliver f… https://t.co/eaRwH2QT0h",0,0,['Grubhub'],[15897147],[],1.22e+18,Impact_Moore,,1.24e+18,United States,Tysons Corner,en,"[-77.265228, 38.898565]",-77.265228,38.898565,gave a refund but what about the fact the woman who i called through the app saying she doesn t deliver f,neutral
1.24e+18,3/15/2020 18:05,HOLY SHIT!! #Texas schools may remain closed till the end of school year!!! #CoronaVirusUpdates #coronavirus… https://t.co/sRBAQ1j93I,0,0,[],[],"['Texas', 'CoronaVirusUpdates', 'coronavirus']",1.21e+18,Nina,just trying to get through #graduateschool 🙏🏽🙇🏽‍♀️📚,,United States,Houston,en,"[-95.823268, 29.522325]",-95.823268,29.522325,holy shit texas schools may remain closed till the end of school year coronavirusupdates coronavirus,negative
1.24e+18,3/15/2020 18:05,"Can’t wait for the @Scholastic book order that comes out with, “I SURVIVED: The Coronavirus, 2020”
#edchat #teacher… https://t.co/Sj3hL5kLEw",0,0,['Scholastic'],[14342018],"['edchat', 'teacher']",292651706.0,Mr Tommy McGlinnen,"Future Hall of Fame Teacher, Spartan for Life, Daddy to 4 Amazing Kids...",,United States,Springfield,en,"[-83.529332, 42.728267]",-83.529332,42.728267,can t wait for the book order that comes out with i survived the coronavirus edchat teacher,neutral
1.24e+18,3/15/2020 18:04,My cousin works for child protective services.She got a call tonight about a child whose mom is being tested for… https://t.co/XlpJZ0ieRj,3,0,[],[],[],29100428.0,Erika K Wilson,"Avid Runner. Racial Justice Lawyer. Law Professor. Your Silence Will Not Protect You 👌🏾. I Tweet About Race, Politics, & Sports. Tweets are my own.",,United States,Durham,en,"[-79.0075886, 35.866334]",-79.0075886,35.866334,my cousin works for child protective services she got a call tonight about a child whose mom is being tested for,neutral
1.24e+18,3/15/2020 18:04,🚨NEW UPDATE 🚨 We have decided to close our taproom indefinitely. Please read more here: https://t.co/FIgrshlpIi… https://t.co/Yk6GCXMVW4,0,0,[],[],[],8.29e+17,Little House Brewing Company,"Good things are brewing. A one-of-a-kind microbrewery in the heart of downtown Chester, CT! #welcomehome",,United States,Chester Center,en,"[-72.47089, 41.388795]",-72.47089,41.388795,new update we have decided to close our taproom indefinitely please read more here,positive
1.24e+18,3/15/2020 18:04,For all the stupid people out there y’all should listen @drdrew and not the media. The media is freaking you all ou… https://t.co/OmjSqDmLPx,0,0,['Dr Drew'],[14515734],[],246621791.0,Lloyd Shaw,,,United States,Hoover,en,"[-86.912935, 33.294784]",-86.912935,33.294784,for all the stupid people out there y all should listen and not the media the media is freaking you all ou,negative
1.24e+18,3/15/2020 18:04,It's official.... Las Vegas is suspended. #coronavirus https://t.co/W6oE4OrmSb,1,0,[],[],['coronavirus'],14016032.0,Chris Reed,Proud autistic and type 1 diabetes dad and all-around editor/reporter guy with @stgnews. Views are just mine... all mine. Engaged to @daralynpotter.,,United States,St George,en,"[-113.6418051, 37.021646]",-113.6418051,37.021646,it s official las vegas is suspended coronavirus,neutral
1.24e+18,3/15/2020 18:04,@HEB saving Texas and @Whataburger saving Texans working at #HEB. Just read about the New Braunfels #whataburger em… https://t.co/piWQBabxgY,0,0,"['H-E-B', 'Whataburger®']","[23967651, 353060311]","['HEB', 'whataburger']",56827481.0,Jerusalén García Jordán,"Mexican-American, 1st gen
-TX Yoshi Army General for Yoshi Sudarso 

👩‍⚖Cosplayer de #MiraculousLadybug y #PowerRangers

#GeneraciónRebelde",,United States,Dallas,en,"[-96.977527, 32.620678]",-96.977527,32.620678,saving texas and saving texans working at heb just read about the new braunfels whataburger em,positive
1.24e+18,3/15/2020 18:04,"So far both of my grandmothers in Iran do not have #coronavirus, but I fear for my family’s health everyday, especi… https://t.co/b2aIi4ZNHs",19,2,[],[],['coronavirus'],8.82e+17,Rep. Anna V. Eskamani 🔨,"Orlando native, daughter of immigrants, authentic, and unafraid progressive. Worked at Planned Parenthood, @UCF grad, elected to serve FL HD47. #OnwardWithAnna",,United States,Orlando,en,"[-81.507905, 28.3882177]",-81.507905,28.3882177,so far both of my grandmothers in iran do not have coronavirus but i fear for my family s health everyday especi,negative
1.24e+18,3/15/2020 18:03,"Business owners: Join us on Tuesday for this very timely chat! 
#USABizParty #coronavirus https://t.co/N7kWcnnOO1",0,0,[],[],"['USABizParty', 'coronavirus']",17475560.0,"Sabrina Cadini, CHLC, CBFC","🧩 Holistic Life Coach 🧠 Brain Fitness Coach 💡 #LifeWorkBalance: Life comes first, then work can get done 📘 @LifescaleU Coaching Program Director",,United States,San Diego,en,"[-117.282538, 32.53962]",-117.282538,32.53962,business owners join us on tuesday for this very timely chat usabizparty coronavirus,positive
1.24e+18,3/15/2020 18:03,"Is this the dumbest #coronavirus  thing on Amazon‽ 
I LOVE YOU. AND IF YOU GOT CORONAVIRUS I WILL F—K YOU https://t.co/JFoceu4Ptw",0,0,[],[],['coronavirus'],7.57e+17,Bob Sellers,What a jolly boring thing to do. Bald. Autistic. haDerech. FOT.,,United States,Florida,en,"[-87.634643, 24.396308]",-87.634643,24.396308,is this the dumbest coronavirus thing on amazon i love you and if you got coronavirus i will f k you,positive
1.24e+18,3/15/2020 18:03,The one that STAYED AWAY SAVED ALL THE REST! #CoronavirusOutbreak #coronavirus https://t.co/ITDf1Kl4WV,0,0,[],[],"['CoronavirusOutbreak', 'coronavirus']",31858362.0,Antonio Divine,"Student of life & humans. Giver, Intuitive, Adviser, Spiritual, Believer, Lover, Healer, Listener & Hugger. Advocate of those who can't speak for themselves. 🤟",,United States,Southwest Social Services,en,"[-80.311008, 25.768039]",-80.311008,25.768039,the one that stayed away saved all the rest coronavirusoutbreak coronavirus,neutral
1.24e+18,3/15/2020 18:03,Social distancing Brooklyn style. #fuhgeddaboudit #coronavirus #NYC https://t.co/ZT1UEWD6xR,0,0,[],[],"['fuhgeddaboudit', 'coronavirus', 'NYC']",4480321576.0,Rafal Zabinski,,,United States,Brooklyn,en,"[-74.041878, 40.570842]",-74.041878,40.570842,social distancing brooklyn style fuhgeddaboudit coronavirus nyc,positive
1.24e+18,3/15/2020 18:03,Easy experiment to show your kids why we wash our hands ... #Covid19 #CoronaVirus #washyourhands #germs #kids… https://t.co/9ZJcVkS1dc,0,0,[],[],"['Covid19', 'CoronaVirus', 'washyourhands', 'germs', 'kids']",132095526.0,Chef AC,#FamilyFirst #AAN LG Animal rescue 🌱For the Animals #LTMA,,United States,Newport Beach,en,"[-117.9582193, 33.563618]",-117.9582193,33.563618,easy experiment to show your kids why we wash our hands covid coronavirus washyourhands germs kids,positive
1.24e+18,3/15/2020 18:03,"Working to keep you informed with FACTS.

We will get through this pandemic together! 💪🏾 #Coronavirus #COVID19 https://t.co/qEVpUozBJj",0,0,[],[],"['Coronavirus', 'COVID19']",1.03e+18,Brandon Hamilton,Journalist | @UCF / @TexasSouthern | #APHIA | #NABJ | Isaiah 54:17 | Florida 🌴 ➡️ Texas | Story idea? brandon.hamilton@kwtx.com,,United States,KWTX-TV,en,"[-97.19455717060478, 31.513156468317796]",-97.19455717060478,31.513156468317796,working to keep you informed with facts we will get through this pandemic together coronavirus covid,neutral
1.24e+18,3/15/2020 18:03,NEW: CDC recommends that gatherings of 50 people or more in U.S. be canceled or postponed in next 8 weeks because of #coronavirus.,0,0,[],[],['coronavirus'],196276297.0,Big Rick In The Morning,Weekday Mornings 6-10 AM on @GOOBER951,,United States,Bowling Green,en,"[-86.542319, 36.890907]",-86.542319,36.890907,new cdc recommends that gatherings of people or more in u s be canceled or postponed in next weeks because of coronavirus,neutral
1.24e+18,3/15/2020 18:03,2020 will be remembered as a great year for bidet manufacturers. #coronavirus,0,0,[],[],['coronavirus'],34533833.0,Arla Xhaxho,Tech product person who also makes food for the gram on @arlaeats || San Francisco - Stanford MBA/Econ - Albanian - former mobile gaming PM,,United States,San Francisco,en,"[-122.514926, 37.708075]",-122.514926,37.708075,will be remembered as a great year for bidet manufacturers coronavirus,positive
1.24e+18,3/15/2020 18:02,With no sports &amp; still paying for ESPN Plus. Now would be a great time to release that Bulls 30 for 30 early... not… https://t.co/CPG8SMl8ni,1,1,[],[],[],267497909.0,Ahsha Abu-Ali,I Yam What I Yam,,United States,Euless,en,"[-97.15606, 32.81088]",-97.15606,32.81088,with no sports still paying for espn plus now would be a great time to release that bulls for early not,positive
1.24e+18,3/15/2020 18:02,"#JoeBiden platform: I’ve stared down a frightening crisis before, and I can do it again. I know the levers to push… https://t.co/NEafQoYJ1X",0,0,[],[],['JoeBiden'],27529833.0,Ian Erik H,#NAME?,,United States,Brooklyn,en,"[-74.041878, 40.570842]",-74.041878,40.570842,joebiden platform i ve stared down a frightening crisis before and i can do it again i know the levers to push,negative
1.24e+18,3/15/2020 18:02,"With all the #coronavirus health scares, I’m working on creating safer access to drinking water @DonorsChoose! I'd… https://t.co/7j3OQ6wHeX",0,0,['DonorsChoose'],[17232815],['coronavirus'],8.52e+17,Mitchell Mandell,6th Grade Science Teacher 👨‍🏫 🧫 🧬 🧪 Greenfield Middle School 🏫 🚌  Donate to my class wishlist: https://t.co/2qhxqKqwpy,,United States,San Diego,en,"[-117.282538, 32.53962]",-117.282538,32.53962,with all the coronavirus health scares i m working on creating safer access to drinking water i d,neutral
1.24e+18,3/15/2020 18:02,If the #Coronavirus has taught us anything it’s the lengths we will go when desperate. Next time you want to judge… https://t.co/NRwSZBJ4ux,0,0,[],[],['Coronavirus'],8.06e+17,Bella Sofia,Artist | Insta: bellasofia | Snap: Bellasofia6884,,United States,Hayward,en,"[-122.160814, 37.592632]",-122.160814,37.592632,if the coronavirus has taught us anything it s the lengths we will go when desperate next time you want to judge,negative
1.24e+18,3/15/2020 18:02,"Takeout nation begins. In response to #coronavirus, @Starbucks moves to a to-go model to help create social distanc… https://t.co/mUBIdvV7Tn",1,1,['Starbucks Coffee'],[30973],['coronavirus'],14709795.0,FastFoodMaven,"Senior Editor, Tech Editor @nrnonline #Restaurant #QSR industry coverage since 2005. Previously 25 yrs @ocregister Proud @CornellSHA mom.",,United States,Orange,en,"[-117.904717, 33.77319]",-117.904717,33.77319,takeout nation begins in response to coronavirus moves to a to go model to help create social distanc,positive
1.24e+18,3/15/2020 18:02,Holding in my cough so people don’t think I have the #coronavirus when I only accidentally choked on my water… https://t.co/LgzHqw7dMm,0,0,[],[],['coronavirus'],793225866.0,Dominique Richard,25 | NOLA | Fashion Photographer ✨,,United States,New Orleans,en,"[-90.137908, 29.889574]",-90.137908,29.889574,holding in my cough so people don t think i have the coronavirus when i only accidentally choked on my water,neutral
1.24e+18,3/15/2020 18:02,With me working in communications I still have to go to work. Helping people get there cellphones or tv service...… https://t.co/WuYnpja9rf,0,0,[],[],[],1152400248.0,♨️Fatal Creations🖋,"I tweet things for @marvelnewsptn!
Visit my Instagram for artwork! 
Prints and Originals available! 

*Artist & AT&T manager* ♨️🐾🌮",,United States,Municipality of Monroeville,en,"[-79.8196766, 40.385071]",-79.8196766,40.385071,with me working in communications i still have to go to work helping people get there cellphones or tv service,neutral
1.24e+18,3/15/2020 18:01,If you #selfquarantine at home tonight due to #coronavirus - #GrumpyOldMen is on cnn - #zing #politics #pandemic… https://t.co/G3nN177in6,0,0,[],[],"['selfquarantine', 'coronavirus', 'GrumpyOldMen', 'zing', 'politics', 'pandemic']",49244936.0,Russell Wolff,Politician / Writer / Music Producer / DJ / Photographer / Comedian / Harvard Dude / Activist / Wedding Officiant / Jew boy / Feminist / #MeToo,,United States,Los Angeles,en,"[-118.668404, 33.704538]",-118.668404,33.704538,if you selfquarantine at home tonight due to coronavirus grumpyoldmen is on cnn zing politics pandemic,negative
