Tweet,Sentiment
new cdc coronavirus guidelines seem an appropriate step in the right direction no events with attendance over,neutral
meanwhile at safeway far north phoenix pm coronavirus,positive
prince will allow us to get through the coronavirus and fill hospitals with pregnant women on or about december,positive
the guardian trump offers large sums for exclusive access to coronavirus vaccine via,positive
an estimated m americans will die from coronavirus this year from some studies approx americans passed,neutral
no joke artnews artmagazine artmatters corona coronavirus covid markenzycesar,neutral
this is not okay what is your plan to fix it we need answers and tests and plans yesterday,negative
hey corona boy i looked back realized he was saying it to me w a smug face you know i m filipino right he,negative
this is my cover letter for why i m worth the effort in case doctors nurses ever have to choose and i m one of the,positive
where are the tests how come you got one so quickly and we cannot coronavirus,negative
what about my father is a high risk and you have mail and packages coming fr,positive
coronavirus email sign offs for the next few weeks please add any new sign offs want this to be a living docum,negative
you held it down tonight for our city as a republican i can say i m proud to have u as my mayor would,positive
for people who think getting the coronavirus wouldn t be a big deal for them think about this covid,neutral
ahead of the coronavirus erica is wearing her travel mask she is not even wearing that mask properly,neutral
uh no is using coronavirus plan factsmatter,neutral
covid fam something to remember when panic buying all the god damned tp rabies kills more peeps per day tha,positive
ghost town coronavirus culvercity losangeles hollywood california c jforever,neutral
wapo just announced they will make a substantial portion of their coverage on coronavirus free of charge without a,positive
question for ehealth about coronavirus how does corona spread at all from asymptotic carr,neutral
i m crying chinese people cnndebate lyingjoe demdebate talkingdead,negative
wow i expected a lot from and but this is amazing i love my president,positive
i m listening to update to the coronaoutbreak he s so out of breath he couldn t even say coronav,neutral
how to make pandemics partisan coronavirusoutbreak coronavirususa,neutral
we need to do more quarantine ppe test if you are a healthcare provider please help us make the change,positive
hawaii now has cases of coronavirus covid,neutral
can someone ask the if he is going to reinstate telework for ssa employees that he took,neutral
trumplive trumppressconference excellent presentation by listing many ceos and,positive
this is gonna be me tomorrow on day quarantinelife covid coronavirususa covid,neutral
greetings,neutral
you don t say covid coronavirus,neutral
this would be a good week for tweets about viruses to go viral coronavirususa,positive
yes should we expose ourselves to packed grocery stores and why not limit the amount,neutral
can we just go ahead pin the coronavirus on r kelly i m getting tired of hearing about it,negative
closed during both world wars closing wouldn t be unprecedented but it would upse,positive
now would be a great time for friends to come back on netlflix right now coronavirus,positive
breakingnews us cdc recommends halting gatherings of more than people covid coronavirus,neutral
toquedequeda coronavirus sent from noticel,neutral
our commitment to help mitigate the economic impact of the coronavirus in our beloved silver spring will also ext,positive
president has declared a national emergency due to the coronavirus more news will follow for,positive
miamidade mayor had a bug bite his behind now he s being proactive with this coronavirus let s gi,negative
how much of the b nationalemergency will go to support hotel industry ie a specific benefit to s self inte,positive
how lovely of them america fyi last night yes gop republican,positive
release the test results and your taxes coronavirus,neutral
coronavirususa has caused me to play some older video games so i rolled out nba k played the first game a,negative
pence where are u home sick with coronavirus,negative
a break from coronavirus news your welcome russian boy paints stunning pet portraits in exchange for donations,positive
please be vigilant wash you hands eat healthy and most importantly let s not panic doctor s and medical prof,positive
anyone could ve shared this but it was better coming from coach o letsgeaux coacho coronavirususa,positive
the one that stayed away saved all the rest coronavirusoutbreak coronavirus,neutral
holding in my cough so people don t think i have the coronavirus when i only accidentally choked on my water,neutral
coronavirus test came back negative sinking another witch hunt by the crooked corporate media c,negative
more people are going to die from suicide from going bankrupt from the fallout media hype and political bs than fr,positive
pennsylvania should institute a statewide closure rule like oh l,neutral
you were sworn into office in january you ve had years to make adjustments to policy,neutral
omg my local lasvegas drug dealer uhh marijuana dispensary unbelievably busy tonight gee i wonder why,positive
candidates a question from in norman oklahoma if you had coronavirus would you travel back in time,neutral
government alright we need to have social distancing at this time me no problem it s not like i liked hanging,positive
are we on the verge of a second prohibition keeptheliquorstoreopen coronavirus,neutral
world health organization recommendations do the five dothefive worldhealthorganization covid,neutral
make sure maga fans are forced to work during this coronaoutbreak never forget,positive
dr fauci is more credible when he s not standing in the shadows of trump trump his sidekick pathetic worshippe,negative
vision my ass has felt more like someone gouged my eyes out stepped on them and then put them back in,positive
with everything closing the tv ads seem a very big waste of money big brands might be worth putting that mo,positive
has coronavirus i just told someone a few minutes that a he has it,negative
see you tomorrow bright early i ll be joining via skype from home office,positive
welcome to az where banner health doesn t have enough tests and of their hospitals are in sun city the land of sn,positive
breaking news trump tests negative for coronavirus,negative
this is what is needed to survive lol coronavirus california infinitegel marvel sanitizer,positive
hopefully other localities follow their lead what are we doing to prepare rva for this i hope it s o,negative
interesting that you guys let religion run your life with no proof that god is real and yet you don t think,positive
is there anything else i can help you with you can lower your voice i m sorry i just want to make sure you,neutral
corona roachel d virus getcho ass back in the house messing up these people s stuff you don t know how to ack,neutral
does anyone really believe that would admit it if he ever got the coronavirus they would claim it,negative
as if arguing about super pacs helps us win the war on coronavirus democraticdebate,positive
coronavirus this press conference from and is alarmist detached from the reality of what has,neutral
wrong,negative
get ready folks the fake go fund me coronavirus accounts they are set up and ready to go don t be donating to t,negative
covid update quarantinelife stayhomechallenge coronavirusoutbreak coronapocolypse coronavirus,neutral
his post prior to this one said the american media was overreacting two weeks later how is italy holding up,neutral
last call on the vegas strip sundayfunday shutterdown vegas coronavirus,neutral
coronavirususa swampmonster maga bluewave hypocrisy loathsome i hate this admin pos worst stolen ofc ever,negative
that s two months folks flattenthecurve covid coronavirus,neutral
sadly we might soon long for the good old days of the great recession coronavirus,positive
powerful moment at lunch speaking and getting smears and boos when saying the response was unpre,positive
s plugs for these private companies in his coronavirus press conference is absolutely sickening,negative
please read this short thread unfortunately for mark he knows this topic well coronavirus,negative
glad to see highlight the role telehealth can play in fighting the coronavirus next week s we,positive
nobody trusts you anymore you have zero credibility i could run against you in november and win,positive
awwwww bernie biden did an elbow bump what good modeling of appropriate coronavirus etiquette demdebate,positive
weekend one of the coronavirus lockdown today i saw kids in my backyard a heading to the woods with a bow and a,neutral
testing usa potus cdc who testvirusnow americans covid coronavirususa truthmatters,neutral
ghosttown nyc coronavirus deadtrains mta ghosttrainhaze new york new york,positive
mvp award does to amazon prime for helping jeff and i survive through this coronavirus crisis coronavirususa,neutral
when biden was in charge of the h n swine flu epidemic this happened in america mil,neutral
president trump thank you for all you are doing for not only my family for all the people in the u,neutral
preparing for distance learning in orange district coronavirususa,neutral
can still contract coronavirus,neutral
my friends mom is dying i have cancer and a pet scan thursday chemo friday my yo daughter is heartbroken ov,neutral
why hasn t anyone said coronavirus is a global pandemic and we need a global approach,neutral
will this top coronavirususa news for the day we shall see,negative
i just had a call with some very impressive people the people of stores and groceries and other tremendously impo,positive
our coronavirus pantry is stocked with all the things my telecommuting desk is set up crafts have been acquired,neutral
we can protect texas prison inmates from coronavirus but won t help the students of texas whose school district r,neutral
worth noting the democratic debates of double digit candidates would not have worked in our new coronavirus world,positive
if was infected does anyone believe he would tell anybody the new york times trump is tested,negative
is live on instagram and playing a few jams this is wonderful coronavirususa quarantinelife ain t,positive
read this coronavirus,neutral
how worried are you about covid coronavirus,neutral
all cities need to implement similar measures effective immediately covid coronavirusoutbreak covid,positive
i was going to use my socks instead of toilet paper but then i got cold feet coronavirus toiletpapercrisis ilovenewsocks,negative
this was so selfish of him to do but look at that karma got him and now he has to donate them all,negative
are you guys seeing an increase in handsanitizer ads in and too covid flattenthecurve staythefhome coronavirus,neutral
a final team photo for baseball parents after a wild game with no punahou praying for resumption,negative
kids dancing around arizona because school was just cancelled for weeks remember your parents just boug,neutral
white house says tests negative for coronavirus yeah we have always been at war with eastasia,negative
follow me for more life hacks poop masshysteria fail greattoiletpaperfamineof toiletpaper lifehacks,neutral
all mass restaurants and bars ordered closed for month due to coronavirus gatherings limited to people,negative
understand the importance of socialdistance and avoid all non essential travels it won t only help you but also h,neutral
what have we come to polloloco was trending and i thought maybe they closed their stores because of the,negative
how about you get off twitter and do your job who cares right now there s obviously more pressi,negative
oh how the tables have turned this kanban board that was used for my students is now my daily routine to prep and,neutral
where are the test kits trumpplague coronavirus trumpresignnow,neutral
he could ve helped he choose not to,neutral
use this video to teach your kids and some adults why it s so important to wash your hands coronavirus covid,positive
impeached orange fuckstick sureounded by people with the coronavirus says what,neutral
i do think at some point in the next month or weeks sports has to return regardless just play the games without the,neutral
i would just like to pick up my regular weekly groceries is it safe yet panicshopping covid coronavirus,negative
people like this need the coronavirus and then saved by a doctor of the race of which they have an issue with,neutral
tele conference south korea they want to help our country,neutral
american schools during coronavirus,neutral
coronavirus know your bowel movements mr mayor beanburrito,neutral
south korea s approach of social distancing shows that it can flattenthecurve please people take this seriously,negative
is this a joke coronaoutbreak coronavirus,neutral
whoever thought buying this much would come in handy coronavirus,positive
if all you re buying is beans you will need all the toilet paper you can get it can only end one way for you coronavirus,negative
biden just said income inequality has nothing to do with the coronavirus crisis we re responding to now demdebate,neutral
rught now pm screening of bloodshot imax metreon san francisco theater is crazy packed jk this virus is def,negative
panic all you want we re going flyfishing no coronavirus out here your cult getoutside,neutral
the latest on coronavirus in nebraska from this one from,positive
this white house press conference is autistic too much focus on staying home if sick no mention of asymptomatic t,negative
you know what would be cool if these pro athletes would do some q a s with fans or do some live streaming and just,negative
nycschoolsclosed does not mean going out to parks movies play groups and such remember social distancing then,positive
no is the absolute train wreck right now he has fucked up and,negative
new puts out new way to get your food delivered during coronavirus pandemic you no longer need to come,positive
i want that hat taking care of the american people coronavirus leadright,neutral
yea we need sports back asap i just watched this whole video intrigued coronavirus,positive
yes please including south korea s low mortality rate coronavirus,neutral
pay attention people covid covid coronapocolypse coronavirus coronavirusoutbreak socialdistance,neutral
these photos were taken last week these two people are positive for covid any thoughts you ma,negative
i live in a country full of retards if you wear a mask it blocks vapors and spittle from leaving your mouth that,negative
prayers for italy and for the rest of the world for that matter coronavirus coronapocolypse,neutral
local communities have been waiting for tests from the fed government donald trump claime,neutral
and the trump maga kag cult still cheer for him praise him he is literally a complete moron you feel confide,negative
it s so amazing why aren t they handing out awards to each other covid,negative
we just had an emergency bulletin go across our tv that said is using his executive power to shut dow,neutral
in the battle of coronavirus vs the champs cv is taking a solid one onthechin kickrocks cv invite is open,neutral
breaking news march pm edt per ap press and washington post president trump mandates all toilet,negative
from the same ccsd candidate that didn t understand being asymptomatic and a carrier coronavirususa,neutral
if you intend to continue saying the opposite of your coronavirus team why don t you fire them al,neutral
have someone read this to you he s an idiot critics say trump has failed the us in this test,negative
so act like a leader and accept responsibility already the buck stops with you,neutral
listen to dr campolo she knows kung fu too coronapocolypse socialdistancingnow staythefhome genx covid,neutral
due to life slowing down to covid what will you be doing with your free time i want to hear from all of you a,neutral
massachusetts has th highest number of coronavirus cases closed all restaurants bars statewide for,negative
i had a strong talk with my relatively healthy year old mom who does have a heart condition i cited stats while,positive
is expected to declare a national emergency over the coronavirus pandemic if it is so this,negative
wish it were this easy boo stinks readyforhappytimes byefelicia coronavirus,negative
scenes from manhattan today panicshopping coronavirus covid,negative
grateful bread will remain open during restaurant closures to go orders only see you tomorrow stay healthy,positive
everyone going all zombie apocalypse during this coronavirus outbreak buying all the toilet paper meanwhile i m,negative
tomorrow is pray away the coronavirus day join evangelical death cult worshipping narcissist amer,neutral
the problem with saying coronavirus only affects those over is that we ve all aged to be since january,negative
in italy we have water and food and a pandemia as all over the world so don t loose time sayi,negative
mr anti vaxxer science is a hoax himself will head up the coronavirus team oh joy,positive
walsh its time to shelter in place coronavirus,neutral
some thoughts on the coronavirus and not having sports by,neutral
if you re in la nyc or anywhere else where takeout is your only restaurant option please tip well these folks,neutral
i am immunocompromised my life matters highriskcovid please think of people like me there are more of us than,positive
hahaha everyone s got it coronavirus,positive
a quarentini before dinner coronavirus,neutral
what happened to unifying the country we still see you and your pathetic response to the coro,negative
hey asshole do you realize that this virus crosses boundries and climbs walls humanity as a who,neutral
coronavirus doesn t care about your bullshit lies doubling down on them won t save your image,negative
all her hard work is paying off she s crushing this selfquarantine genz myheroonesjustice doritos coronavirus,positive
i am onair pm am still reeling after last night s mardigras birthday party tune in for all the hits,neutral
pm et mon march confirmed coronavirus statistics world usa we have soon to be going dow,positive
sometimes when bad things happen god reminds me in the bigger picture of life and in the scope of history it s th,negative
i really don t give a shit what biden and bernie are doing to protect themselves from coronavirus demdebate,neutral
if you re trying to smash during the coronavirus quarantine is it netflix and ill starz behind bars,negative
oh look it s steph the sycophant she can t stay awa,neutral
i m a lucky man ring a ding ding ratpacklounge lasvegas soldoutrun coronavirus,positive
lisa i did not mean any harm my point being that excessive,negative
jftr this doesn t help make look like any less the self centered asshole he apparently is covid,negative
incase anyone wants to go to the trader joe s on brea they re out of a lot of stuff don t go at night i learned,positive
y all want us to move our cars but also stay inside for the coronavirus,neutral
dear god help us most of us don t get comfort or reassured everything is going to be okay when h,positive
sir is in a serious crisis this is no time to act as a banana republic target political opp,negative
the toilet paper paper towel aisle at costco today peopleareidiots yaycorona smh sodumb costco,negative
based on the data these closures and self isolation is completely unnece,positive
this ain t no party this ain t no disco this ain t no fooling around i ain t got time for that now i got some g,neutral
we still have heroes covid socialdistancing coronavirususa plainfield vermont,neutral
breaking sen confirms a delaware based member of his staff has a confirmed case of covid,positive
it s a must that cities start implementing strategies like france and other countries to fight the,negative
coronavirus covid effects of social distancing on flu deaths,positive
i have a legit question has this flatten the curve approach to a epidemic ever been done before or is th,neutral
biden wants to take us back to normal ie continued vulnerability to coronavirus corporate healthcare massive w,positive
the cnndebate themes joe biden is best prepared to deal with coronavirus and lead on day one joe biden,positive
hey geraldo can you share the link to the awesome google website that is manag,positive
is issuing a call for papers that address coronavirus from a social science perspective we are int,positive
this guy looks sick gettested coronavirus,negative
breakingnews john s trading off and stayhome stayathome coronavirus covid coronapocalypse,neutral
americastrong protect and preserve our way of life time to put coronavirus out of it s mis,neutral
our family is officially staying home i have a slight sore throat and cough and we don t want to take any chances,negative
live update new cases of coronavirus in michigan including st child total reaches covid,positive
social distancing is right and sports cancellations spot on that said i miss sports so much i literally just,positive
i think has the coronavirus,neutral
pro tip do not read or respond to any nextdoor posts on the coronavirus for your own sanity i implore you just don t do it,positive
we should declare an act of terrorism against our mass media coronavirususa,neutral
if you could pick any one person to be quarantined with who would you pick only one person coronapocolypse,neutral
a little humor goes a long way togetherstrongerunited covid covid ph coronavirus covid,negative
hey i ain t trying to start anything but whenever the bird flu was around and our president was ob,neutral
fyi it s called isolation if ya don t have it quarantine if ya do or think ya might coronavirus fact,neutral
supermarket during coronavirus type beat,neutral
on my way to pick up my postmate v a coronavirus covid safehands covid pandemic,neutral
could you share the url for the coronavirus testing website you announced at the press event on march,neutral
only our alarmist friends in the media and would try to goose coronavirus stats by describing the numb,negative
this coronavirus is like a damn zombie apocalypse,neutral
this is on you coronavirus covid,neutral
has ruined many careers here s another memorylane coronavirus is another attempt to impeac,positive
mr president please take a serious action again coronavirus its time to make a big decisions t,negative
this is why everyone needs to get tested infected people without symptoms might be driving the sp,neutral
protect her coronavirus,neutral
you should definitely do this,neutral
if the media fueled mass hysteria doesn t scare you more the virus you re not paying attention covid,positive
are you reading every coronavirus email you receive or just deleting them like me,neutral
finlit thought of the day when facing a crisis do whatever you can to make sure your family friends neighbors,positive
cs seyer,neutral
an imminent disaster foretold nearly two years ago the stupidity of is lethal the willf,negative
me too everything s scary coronavirus,negative
so you throw paper on the floor calling out the press saying fake news shouted out all the groc,negative
can interrupt the democraticdebate with this psa and then the three of them present a unified plan,neutral
the epic failures of this administration keep stacking up dealing w covid all these ppl coming back from bann,negative
thank you for your amazing response to the coronavirus,positive
the new normal as we all try to stay healthy please do the same this is about all of us see you at pm on wpbf,positive
to bad the coronavirus only affects old people hope trump gets it,negative
i didn t realize coronavirus rotted the brain but it appears to have done so in your case,neutral
coronavirus in illinois updates here s what s happening sunday with covid in the chicago area,neutral
in the usa too many people are not taking coronavirus seriously here in westernkentucky too many churches are no,positive
coronavirus will be forever known as the worst pandemic in the history of mankind with the lowest death rate and the highest rate of panic,negative
let s get this straight you decided to not get enough test kits so that the numbers reported of,positive
i m sorry donald trump but if the response is great then where are all these coronavirus te,negative
ok now this stupid coronavirus is affecting my livelihood i can t believe all gyms are closed i can t train any,negative
curfew is on for covid coronavirususa coronaviruspr todosvamosamorir toquedequeda,neutral
aren t and in charge of our government s coronavirus response plan ever since a,neutral
will i play my senior year of softball will we have school will we graduate can i still get my nyssb culture fai,neutral
moron look what you created at the airport do you see the crowded airport putting all of them at,negative
this was re tweeted by nyc council member stephen levin a text exchange from an emergency room doctor here in the,neutral
if you go shopping take your bags with you stores are running out of paper and plastic bags not to mention,neutral
italy is getting making the best of the situation coronapocolypse coronavirus corona coronavirusoutbreak,positive
palace station is doing social distancing for table games but not the oyster bar coronavirus lasvegas,positive
on behalf of and our friends from av as well as others in the event industry please sign and,neutral
y all are to sensitive about the coronavirus and xenophobia bunning the flights from china and europe is the rig,positive
demdebate best distraction from coronavirus ever what what a time to be alive,negative
breaking a third case of coronavirus covid is now confirmed in sangamon county this patient is from a differ,positive
is years old doing more for those affected by coronavirus than,positive
empty shelves this morning at am this is not stocking beyond christmas levels walma,negative
oh gee finally declared a national emergency due to coronavirus,negative
trump denied the available who coronavirus test kit the week delay cost american l,positive
now on kennedy blvd in tampa taking precautions coronavirususa,neutral
is this the dumbest coronavirus thing on amazon i love you and if you got coronavirus i will f k you,positive
why are gyms still open in nyc coronavirus,neutral
coronavirus covid coronavirusupdate coronavirususa coronavirusoutbreak strange apocalyptic vibe last time,negative
who you more afraid of miss trunchbull or mrs rona covid coronavirus,negative
a coronavirus psa don t forget to call or facetime your family and friends who live alone while some of us may,positive
everyone is using hand sanitizers and masks but i am chanting this mantra covid india coronavirususa,neutral
lol i m convinced you say shit like this on purpose you know by now this gets people all worked up i almost wond,positive
with all due respect sir nobody gives a flying fuck about michael flynn right now we only care a,negative
between here and the other clogged airports i bet the coronavirususa count doubles within a week dfwairport,negative
this graph should be enough to motivate early lockdowns in all us cities stayhome shutitdown coronavirus,positive
lord help me lol coronavirus covid cutie coronapocolypse,positive
i cannot believe that of americans believe trump is handling this situation well have they not been paying att,neutral
it is so amazing to see these groups stepping up to help feed students while schools are closed this is the latest,positive
oh psa i never thought i would have to use this emoji but the gods damn tolietpaperapocalypse is upon,neutral
baby donald did not anticipate or plan for returning passengers exact same reaction for t,positive
we are officially on lockdown never ever thought i would live to see something like this happen but yet i still,positive
you are president now you nincompoop and this coronavirus mess is a your fault,negative
it s more important than ever to prioritize your mental health are offering free reso,positive
follow the white rabbit to who caused the coronavirus plandemic,neutral
and please once the weeks are up if there s a festival fair event going on go there are people that make thei,positive
you fucking idiots need to stop acting like the world is ending coronavirus is just a germ gtf over yourselves staythefhome,negative
watching the demdebate is like watching report the coronavirus,neutral
thank you for making this good leadership move please remember to support local business during this time,positive
this song is one of my all time favorites and it s so fitting with what we re going through right now as a country,neutral
maybe trump could just through toilet paper coronavirus trumpdemic,negative
does anyone else think sounds ill coronapocalypse coronaoutbreak coronavirus also he doe,negative
this social distancing stuff is not very eventful coronavirus,negative
tell me how my weekend class got turned into a week class thats some bullshit coronavirus,neutral
anyone that wants a test can get a test here is the reality this is all over the us t,positive
